name,gender,amount,month,city,payment_method,category
Aarav,M,1200,Jan,Ahmedabad,UPI,Food
Vivaan,M,1500,Jan,Mumbai,Card,Shopping
Aditya,M,,Jan,Delhi,Cash,Bills
Vihaan,M,1100,Jan,Pune,UPI,Transport
Arjun,M,2000,Jan,Bangalore,Card,Electronics
Sai,M,1700,Jan,Hyderabad,UPI,Food
Krishna,M,,Jan,Ahmedabad,Cash,Bills
Ishaan,M,1400,Jan,Mumbai,Card,Shopping
Rohan,M,1300,Jan,Delhi,UPI,Transport
Kabir,M,1900,Jan,Pune,Card,Electronics
Ananya,F,1250,Feb,Ahmedabad,UPI,Food
Diya,F,,Feb,Mumbai,Card,Shopping
Isha,F,1750,Feb,Delhi,UPI,Bills
Kavya,F,1150,Feb,Pune,Cash,Transport
Meera,F,2100,Feb,Bangalore,Card,Electronics
Neha,F,1650,Feb,Hyderabad,UPI,Food
Pooja,F,1580,Feb,Ahmedabad,Card,Shopping
Riya,F,,Feb,Mumbai,UPI,Transport
Sanya,F,1350,Feb,Delhi,Cash,Bills
Tanya,F,1950,Feb,Pune,Card,Electronics
Aarav,M,1300,Mar,Ahmedabad,UPI,Food
Vivaan,M,1600,Mar,Mumbai,Card,Shopping
Aditya,M,1700,Mar,Delhi,UPI,Bills
Vihaan,M,,Mar,Pune,Cash,Transport
Arjun,M,2200,Mar,Bangalore,Card,Electronics
Sai,M,1600,Mar,Hyderabad,UPI,Food
Krishna,M,1500,Mar,Ahmedabad,Card,Shopping
Ishaan,M,1450,Mar,Mumbai,UPI,Transport
Rohan,M,,Mar,Delhi,Cash,Bills
Kabir,M,2000,Mar,Pune,Card,Electronics
Ananya,F,,Apr,Ahmedabad,UPI,Food
Diya,F,1650,Apr,Mumbai,Card,Shopping
Isha,F,1650,Apr,Delhi,UPI,Bills
Kavya,F,1250,Apr,Pune,Cash,Transport
Meera,F,2300,Apr,Bangalore,Card,Electronics
Neha,F,,Apr,Hyderabad,UPI,Food
Pooja,F,1480,Apr,Ahmedabad,Card,Shopping
Riya,F,1500,Apr,Mumbai,UPI,Transport
Sanya,F,1450,Apr,Delhi,Cash,Bills
Tanya,F,2100,Apr,Pune,Card,Electronics
Aarav,M,1400,May,Ahmedabad,UPI,Food
Vivaan,M,1700,May,Mumbai,Card,Shopping
Aditya,M,,May,Delhi,UPI,Bills
Vihaan,M,1300,May,Pune,Cash,Transport
Arjun,M,2400,May,Bangalore,Card,Electronics
Sai,M,1500,May,Hyderabad,UPI,Food
Krishna,M,1450,May,Ahmedabad,Card,Shopping
Ishaan,M,1550,May,Mumbai,UPI,Transport
Rohan,M,1500,May,Delhi,Cash,Bills
Kabir,M,,May,Pune,Card,Electronics
Ananya,F,1450,Jun,Ahmedabad,UPI,Food
Diya,F,1750,Jun,Mumbai,Card,Shopping
Isha,F,1550,Jun,Delhi,UPI,Bills
Kavya,F,1350,Jun,Pune,Cash,Transport
Meera,F,,Jun,Bangalore,Card,Electronics
Neha,F,1450,Jun,Hyderabad,UPI,Food
Pooja,F,1400,Jun,Ahmedabad,Card,Shopping
Riya,F,1600,Jun,Mumbai,UPI,Transport
Sanya,F,1550,Jun,Delhi,Cash,Bills
Tanya,F,2300,Jun,Pune,Card,Electronics
Aarav,M,1500,Jul,Ahmedabad,UPI,Food
Vivaan,M,,Jul,Mumbai,Card,Shopping
Aditya,M,1500,Jul,Delhi,UPI,Bills
Vihaan,M,1400,Jul,Pune,Cash,Transport
Arjun,M,2600,Jul,Bangalore,Card,Electronics
Sai,M,1400,Jul,Hyderabad,UPI,Food
Krishna,M,1380,Jul,Ahmedabad,Card,Shopping
Ishaan,M,,Jul,Mumbai,UPI,Transport
Rohan,M,1600,Jul,Delhi,Cash,Bills
Kabir,M,2400,Jul,Pune,Card,Electronics
Ananya,F,1550,Aug,Ahmedabad,UPI,Food
Diya,F,1850,Aug,Mumbai,Card,Shopping
Isha,F,1450,Aug,Delhi,UPI,Bills
Kavya,F,1450,Aug,Pune,Cash,Transport
Meera,F,2700,Aug,Bangalore,Card,Electronics
Neha,F,1350,Aug,Hyderabad,UPI,Food
Pooja,F,,Aug,Ahmedabad,Card,Shopping
Riya,F,1700,Aug,Mumbai,UPI,Transport
Sanya,F,1650,Aug,Delhi,Cash,Bills
Tanya,F,2500,Aug,Pune,Card,Electronics
Aarav,M,1600,Sep,Ahmedabad,UPI,Food
Vivaan,M,1900,Sep,Mumbai,Card,Shopping
Aditya,M,,Sep,Delhi,UPI,Bills
Vihaan,M,1500,Sep,Pune,Cash,Transport
Arjun,M,2800,Sep,Bangalore,Card,Electronics
Sai,M,1300,Sep,Hyderabad,UPI,Food
Krishna,M,1320,Sep,Ahmedabad,Card,Shopping
Ishaan,M,1750,Sep,Mumbai,UPI,Transport
Rohan,M,1700,Sep,Delhi,Cash,Bills
Kabir,M,2600,Sep,Pune,Card,Electronics
Ananya,F,1650,Oct,Ahmedabad,UPI,Food
Diya,F,1950,Oct,Mumbai,Card,Shopping
Isha,F,1350,Oct,Delhi,UPI,Bills
Kavya,F,,Oct,Pune,Cash,Transport
Meera,F,2900,Oct,Bangalore,Card,Electronics
Neha,F,1250,Oct,Hyderabad,UPI,Food
Pooja,F,1300,Oct,Ahmedabad,Card,Shopping
Riya,F,1800,Oct,Mumbai,UPI,Transport
Sanya,F,,Oct,Delhi,Cash,Bills
, ,2700,Oct,Pune,Card,Electronics
