id,name,age,department,salary,city
1,Rahul,28,IT,45000,Ahmedabad
2,Simran,30,HR,52000,Surat
3,Amit,26,Sales,39000,Rajkot
4,Pooja,32,IT,61000,Vadodara
5,Vikas,29,Finance,48000,Ahmedabad
6,Neha,31,HR,55000,Surat
7,Raj,27,Sales,42000,Rajkot
8,Anjali,33,IT,67000,Vadodara
9,Kunal,25,Finance,37000,Ahmedabad
10,Shruti,28,HR,51000,Surat
11,Varun,30,Sales,46000,Rajkot
12,Ritika,29,IT,59000,Vadodara
13,Nikhil,34,Finance,72000,Ahmedabad
14,Aisha,26,HR,43000,Surat
15,Deepak,31,Sales,50000,Rajkot
16,Komal,27,IT,54000,Vadodara
17,Sachin,35,Finance,75000,Ahmedabad
18,Preeti,28,HR,47000,Surat
19,Mohit,29,Sales,41000,Rajkot
20,Naina,32,IT,62000,Vadodara
21,Rakesh,30,Finance,58000,Ahmedabad
22,Tina,27,HR,45000,Surat
23,Ajay,33,Sales,53000,Rajkot
24,Payal,31,IT,66000,Vadodara
25,Manish,28,Finance,49000,Ahmedabad
26,Sonal,29,HR,52000,Surat
27,Vinay,34,Sales,61000,Rajkot
28,Reema,30,IT,64000,Vadodara
29,Akash,32,Finance,70000,Ahmedabad
30,Divya,26,HR,44000,Surat
